Ticker,T_action,FWD10,Winner,MAE10,B3Cross,B5Cross,B10Cross,B20Cross,B3Lag,B5Lag,B10Lag,B20Lag,B3CloseDist,B5CloseDist,B10CloseDist,B20CloseDist,B3LowDist,B5LowDist,B10LowDist,B20LowDist,CascadeDepth,Ordered35,Ordered3510,Ordered351020
2603,2024-08-14,0.8264462809917328,True,-0.27548209366391463,True,True,True,False,5,9.0,9.0,,3.305785123966931,1.1019283746556363,1.1019283746556363,,2.4793388429751984,0.5509641873278293,0.5509641873278293,,3,True,True,False
2603,2024-08-16,1.0752688172043,True,-2.6881720430107503,True,True,True,False,3,7.0,7.0,,0.8064516129032251,-1.3440860215053752,-1.3440860215053752,,0.0,-1.8817204301075252,-1.8817204301075252,,3,True,True,False
2603,2024-09-18,-0.5347593582887722,False,-1.0695187165775444,True,True,True,True,6,8.0,10.0,10.0,10.160427807486627,7.4866310160427885,-0.5347593582887722,-0.5347593582887722,9.625668449197855,6.149732620320858,-1.0695187165775444,-1.0695187165775444,4,True,True,True
2603,2024-09-20,0.0,False,-3.1746031746031744,True,True,True,True,4,6.0,8.0,8.0,8.994708994709,6.349206349206349,-1.5873015873015928,-1.5873015873015928,8.465608465608465,5.026455026455023,-2.1164021164021163,-2.1164021164021163,4,True,True,True
2603,2024-09-24,-8.823529411764708,False,-10.29411764705882,True,True,True,True,2,4.0,6.0,6.0,0.9803921568627416,-1.4705882352941124,-8.823529411764708,-8.823529411764708,0.4901960784313708,-2.6960784313725505,-9.313725490196079,-9.313725490196079,4,True,True,True
2603,2024-09-25,-10.739856801909308,False,-12.649164677804292,True,True,True,True,1,3.0,5.0,5.0,-1.670644391408116,-4.057279236276845,-11.217183770883054,-11.217183770883054,-2.1479713603818618,-5.250596658711215,-11.694510739856801,-11.694510739856801,4,True,True,True
2603,2025-12-19,2.156334231805923,True,-0.5390835579514808,True,True,True,False,7,7.0,10.0,,2.42587601078168,2.42587601078168,2.156334231805923,,2.156334231805923,2.156334231805923,2.156334231805923,,3,True,True,False
2603,2025-12-23,4.0322580645161255,True,-0.26881720430107503,True,True,True,False,5,5.0,8.0,,2.1505376344086002,2.1505376344086002,1.8817204301075252,,1.8817204301075252,1.8817204301075252,1.8817204301075252,,3,True,True,False
2603,2026-02-25,10.15625,True,1.041666666666674,True,True,False,False,4,5.0,,,9.114583333333325,8.333333333333325,,,7.8125,5.729166666666674,,,2,True,False,False
2603,2026-05-05,-5.288461538461542,False,-6.009615384615385,True,True,True,True,3,6.0,8.0,8.0,1.6826923076923128,0.9615384615384581,-3.605769230769229,-3.605769230769229,1.4423076923076872,0.7211538461538547,-3.605769230769229,-3.605769230769229,4,True,True,True
